experiment,method,seed,variant,source_n,target_n,target_plus_type_probability,coverage_class,support_covered,density_ratio,neighbor_weight,semantic_drift,target_local_energy,target_path_derivative,target_normalized_path_derivative,old_return,return,return_gain,source_steps_total,source_steps_training,source_steps_direction_check,source_steps_return_check,accepted,reason,eta,attempts,forward_kl_training,direction_loss,direction_steps,q_bound,direction_check_score,direction_check_mode,target_true_coefficient_0,target_true_coefficient_1,frozen_actor_p_0,frozen_actor_p_1,source_direction_error,source_realization_residual,target_direction_error,transport_error_upper_bound,normalized_derivative_lower_bound,bound_object,return_check_gain,return_check_mode,return_check_standard_error,direction_status
P-T,AN,49,normalized,4,2,0.6,A_finite_supported,True,1.0,2.0,0.0,0.06652799999999993,0.0,0.0,0.14079999999999998,0.14079999999999998,0.0,2080,2048,32,0,False,direction_rejected,0.0,0,,-0.042973497964660434,100,5.0,-0.049298602458423525,empirical,0.059999999999999803,0.3599999999999998,0.3,0.7,0.0024871503367400924,0.04329404636901973,0.06652799999999993,0.06653487609092415,-3.4379566307418674e-06,specified_source_logit_path_through_finite_candidate,,,,
P-T,AN,49,normalized,4,4,0.6,A_finite_supported,True,1.0,2.0,0.0,0.06652799999999993,0.0,0.0,0.28159999999999996,0.28159999999999996,0.0,2080,2048,32,0,False,direction_rejected,0.0,0,,-0.042973497964660434,100,5.0,-0.049298602458423525,empirical,0.059999999999999803,0.3599999999999998,0.3,0.7,0.0024871503367400924,0.04329404636901973,0.06652799999999993,0.06653487609092415,-3.4379566307418674e-06,specified_source_logit_path_through_finite_candidate,,,,
P-T,AN,49,normalized,4,6,0.6,A_finite_supported,True,1.0,2.0,0.0,0.06652799999999993,0.0,0.0,0.42239999999999994,0.42239999999999994,0.0,2080,2048,32,0,False,direction_rejected,0.0,0,,-0.042973497964660434,100,5.0,-0.049298602458423525,empirical,0.059999999999999803,0.3599999999999998,0.3,0.7,0.0024871503367400924,0.04329404636901973,0.06652799999999993,0.06653487609092415,-3.4379566307418674e-06,specified_source_logit_path_through_finite_candidate,,,,
P-T,AN,49,fixed-edge,4,2,0.6,A_finite_supported,True,1.0,0.6666666666666666,0.00955733333333331,0.033077333333333334,0.0,0.0,0.13226666666666667,0.13226666666666667,0.0,2080,2048,32,0,False,direction_rejected,0.0,0,,-0.042973497964660434,100,5.0,-0.049298602458423525,empirical,-0.04666666666666674,0.2533333333333333,0.3,0.7,0.0024871503367400924,0.04329404636901973,0.033077333333333334,0.1265261658065597,-0.03161538775468535,specified_source_logit_path_through_finite_candidate,,,,
P-T,AN,49,fixed-edge,4,4,0.6,A_finite_supported,True,1.0,2.0,0.0,0.06652799999999993,0.0,0.0,0.28159999999999996,0.28159999999999996,0.0,2080,2048,32,0,False,direction_rejected,0.0,0,,-0.042973497964660434,100,5.0,-0.049298602458423525,empirical,0.059999999999999803,0.3599999999999998,0.3,0.7,0.0024871503367400924,0.04329404636901973,0.06652799999999993,0.06653487609092415,-3.4379566307418674e-06,specified_source_logit_path_through_finite_candidate,,,,
P-T,AN,49,fixed-edge,4,6,0.6,A_finite_supported,True,1.0,3.333333333333333,0.009557333333333307,0.11909333333333315,0.0,0.0,0.44799999999999984,0.44799999999999984,0.0,2080,2048,32,0,False,direction_rejected,0.0,0,,-0.042973497964660434,100,5.0,-0.049298602458423525,empirical,0.16666666666666632,0.46666666666666634,0.3,0.7,0.0024871503367400924,0.04329404636901973,0.11909333333333315,0.12652616580655965,-0.003660171055703293,specified_source_logit_path_through_finite_candidate,,,,
P-T,AN,49,composition,4,2,0.4,A_finite_supported,True,1.4999999999999998,2.0,0.08601599999999993,0.034608,0.0,0.0,0.1248,0.1248,0.0,2080,2048,32,0,False,direction_rejected,0.0,0,,-0.042973497964660434,100,5.0,-0.049298602458423525,empirical,-0.26,0.03999999999999998,0.3,0.7,0.0024871503367400924,0.04329404636901973,0.034608,0.3711245024060214,-0.07872282890046993,specified_source_logit_path_through_finite_candidate,,,,
P-T,AN,49,composition,4,4,0.6,A_finite_supported,True,1.0,2.0,0.0,0.06652799999999993,0.0,0.0,0.28159999999999996,0.28159999999999996,0.0,2080,2048,32,0,False,direction_rejected,0.0,0,,-0.042973497964660434,100,5.0,-0.049298602458423525,empirical,0.059999999999999803,0.3599999999999998,0.3,0.7,0.0024871503367400924,0.04329404636901973,0.06652799999999993,0.06653487609092415,-3.4379566307418674e-06,specified_source_logit_path_through_finite_candidate,,,,
P-T,AN,49,composition,4,6,0.4,A_finite_supported,True,1.4999999999999998,2.0,0.08601599999999993,0.034608,0.0,0.0,0.3744,0.3744,0.0,2080,2048,32,0,False,direction_rejected,0.0,0,,-0.042973497964660434,100,5.0,-0.049298602458423525,empirical,-0.26,0.03999999999999998,0.3,0.7,0.0024871503367400924,0.04329404636901973,0.034608,0.3711245024060214,-0.07872282890046993,specified_source_logit_path_through_finite_candidate,,,,
P-T,SA,49,normalized,4,2,0.6,A_finite_supported,True,1.0,2.0,0.0,0.06652799999999993,0.0,0.0,0.14079999999999998,0.14079999999999998,0.0,2080,2048,32,0,False,direction_rejected,0.0,0,,-0.04207511799814288,100,5.0,-0.04753736333689207,empirical,0.059999999999999803,0.3599999999999998,0.3,0.7,0.0029766746099079873,0.0413695937558692,0.06652799999999993,0.06654030534468697,-6.15238786272343e-06,specified_source_logit_path_through_finite_candidate,,,,
P-T,SA,49,normalized,4,4,0.6,A_finite_supported,True,1.0,2.0,0.0,0.06652799999999993,0.0,0.0,0.28159999999999996,0.28159999999999996,0.0,2080,2048,32,0,False,direction_rejected,0.0,0,,-0.04207511799814288,100,5.0,-0.04753736333689207,empirical,0.059999999999999803,0.3599999999999998,0.3,0.7,0.0029766746099079873,0.0413695937558692,0.06652799999999993,0.06654030534468697,-6.15238786272343e-06,specified_source_logit_path_through_finite_candidate,,,,
P-T,SA,49,normalized,4,6,0.6,A_finite_supported,True,1.0,2.0,0.0,0.06652799999999993,0.0,0.0,0.42239999999999994,0.42239999999999994,0.0,2080,2048,32,0,False,direction_rejected,0.0,0,,-0.04207511799814288,100,5.0,-0.04753736333689207,empirical,0.059999999999999803,0.3599999999999998,0.3,0.7,0.0029766746099079873,0.0413695937558692,0.06652799999999993,0.06654030534468697,-6.15238786272343e-06,specified_source_logit_path_through_finite_candidate,,,,
P-T,SA,49,fixed-edge,4,2,0.6,A_finite_supported,True,1.0,0.6666666666666666,0.00955733333333331,0.033077333333333334,0.0,0.0,0.13226666666666667,0.13226666666666667,0.0,2080,2048,32,0,False,direction_rejected,0.0,0,,-0.04207511799814288,100,5.0,-0.04753736333689207,empirical,-0.04666666666666674,0.2533333333333333,0.3,0.7,0.0029766746099079873,0.0413695937558692,0.033077333333333334,0.12653365272675152,-0.03161730175433837,specified_source_logit_path_through_finite_candidate,,,,
P-T,SA,49,fixed-edge,4,4,0.6,A_finite_supported,True,1.0,2.0,0.0,0.06652799999999993,0.0,0.0,0.28159999999999996,0.28159999999999996,0.0,2080,2048,32,0,False,direction_rejected,0.0,0,,-0.04207511799814288,100,5.0,-0.04753736333689207,empirical,0.059999999999999803,0.3599999999999998,0.3,0.7,0.0029766746099079873,0.0413695937558692,0.06652799999999993,0.06654030534468697,-6.15238786272343e-06,specified_source_logit_path_through_finite_candidate,,,,
P-T,SA,49,fixed-edge,4,6,0.6,A_finite_supported,True,1.0,3.333333333333333,0.009557333333333307,0.11909333333333315,0.0,0.0,0.44799999999999984,0.44799999999999984,0.0,2080,2048,32,0,False,direction_rejected,0.0,0,,-0.04207511799814288,100,5.0,-0.04753736333689207,empirical,0.16666666666666632,0.46666666666666634,0.3,0.7,0.0029766746099079873,0.0413695937558692,0.11909333333333315,0.1265336527267515,-0.0036638028424152425,specified_source_logit_path_through_finite_candidate,,,,
P-T,SA,49,composition,4,2,0.4,A_finite_supported,True,1.4999999999999998,2.0,0.08601599999999993,0.034608,0.0,0.0,0.1248,0.1248,0.0,2080,2048,32,0,False,direction_rejected,0.0,0,,-0.04207511799814288,100,5.0,-0.04753736333689207,empirical,-0.26,0.03999999999999998,0.3,0.7,0.0029766746099079873,0.0413695937558692,0.034608,0.3711402066358836,-0.07872522668685764,specified_source_logit_path_through_finite_candidate,,,,
P-T,SA,49,composition,4,4,0.6,A_finite_supported,True,1.0,2.0,0.0,0.06652799999999993,0.0,0.0,0.28159999999999996,0.28159999999999996,0.0,2080,2048,32,0,False,direction_rejected,0.0,0,,-0.04207511799814288,100,5.0,-0.04753736333689207,empirical,0.059999999999999803,0.3599999999999998,0.3,0.7,0.0029766746099079873,0.0413695937558692,0.06652799999999993,0.06654030534468697,-6.15238786272343e-06,specified_source_logit_path_through_finite_candidate,,,,
P-T,SA,49,composition,4,6,0.4,A_finite_supported,True,1.4999999999999998,2.0,0.08601599999999993,0.034608,0.0,0.0,0.3744,0.3744,0.0,2080,2048,32,0,False,direction_rejected,0.0,0,,-0.04207511799814288,100,5.0,-0.04753736333689207,empirical,-0.26,0.03999999999999998,0.3,0.7,0.0029766746099079873,0.0413695937558692,0.034608,0.3711402066358836,-0.07872522668685764,specified_source_logit_path_through_finite_candidate,,,,
P-T,DA,49,normalized,4,2,0.6,A_finite_supported,True,1.0,2.0,0.0,0.06652799999999993,0.4524524961660211,0.22622624808301056,0.14079999999999998,0.20506497782057093,0.06426497782057095,2112,2048,0,64,True,accepted_empirical,0.1,1,,,,,,,0.059999999999999803,0.3599999999999998,0.36092657972386566,0.7438362380604668,,,,,,,0.04791666666666666,empirical,0.16234268301771615,not_applicable
P-T,DA,49,normalized,4,4,0.6,A_finite_supported,True,1.0,2.0,0.0,0.06652799999999993,0.9049049923320422,0.22622624808301056,0.28159999999999996,0.41012995564114185,0.1285299556411419,2112,2048,0,64,True,accepted_empirical,0.1,1,,,,,,,0.059999999999999803,0.3599999999999998,0.36092657972386566,0.7438362380604668,,,,,,,0.04791666666666666,empirical,0.16234268301771615,not_applicable
P-T,DA,49,normalized,4,6,0.6,A_finite_supported,True,1.0,2.0,0.0,0.06652799999999993,1.3573574884980633,0.22622624808301056,0.42239999999999994,0.6151949334617128,0.1927949334617129,2112,2048,0,64,True,accepted_empirical,0.1,1,,,,,,,0.059999999999999803,0.3599999999999998,0.36092657972386566,0.7438362380604668,,,,,,,0.04791666666666666,empirical,0.16234268301771615,not_applicable
P-T,DA,49,fixed-edge,4,2,0.6,A_finite_supported,True,1.0,0.6666666666666666,0.00955733333333331,0.033077333333333334,0.2359745133459898,0.1179872566729949,0.13226666666666667,0.16121708694899403,0.02895042028232736,2112,2048,0,64,True,accepted_empirical,0.1,1,,,,,,,-0.04666666666666674,0.2533333333333333,0.36092657972386566,0.7438362380604668,,,,,,,0.04791666666666666,empirical,0.16234268301771615,not_applicable
P-T,DA,49,fixed-edge,4,4,0.6,A_finite_supported,True,1.0,2.0,0.0,0.06652799999999993,0.9049049923320422,0.22622624808301056,0.28159999999999996,0.41012995564114185,0.1285299556411419,2112,2048,0,64,True,accepted_empirical,0.1,1,,,,,,,0.059999999999999803,0.3599999999999998,0.36092657972386566,0.7438362380604668,,,,,,,0.04791666666666666,empirical,0.16234268301771615,not_applicable
P-T,DA,49,fixed-edge,4,6,0.6,A_finite_supported,True,1.0,3.333333333333333,0.009557333333333307,0.11909333333333315,2.0067914369581574,0.3344652394930262,0.44799999999999984,0.7467386060764436,0.29873860607644376,2112,2048,0,64,True,accepted_empirical,0.1,1,,,,,,,0.16666666666666632,0.46666666666666634,0.36092657972386566,0.7438362380604668,,,,,,,0.04791666666666666,empirical,0.16234268301771615,not_applicable
P-T,DA,49,composition,4,2,0.4,A_finite_supported,True,1.4999999999999998,2.0,0.08601599999999993,0.034608,-0.3322148040888606,-0.1661074020444303,0.1248,0.11299354173030168,-0.011806458269698311,2112,2048,0,64,True,accepted_empirical,0.1,1,,,,,,,-0.26,0.03999999999999998,0.36092657972386566,0.7438362380604668,,,,,,,0.04791666666666666,empirical,0.16234268301771615,not_applicable
P-T,DA,49,composition,4,4,0.6,A_finite_supported,True,1.0,2.0,0.0,0.06652799999999993,0.9049049923320422,0.22622624808301056,0.28159999999999996,0.41012995564114185,0.1285299556411419,2112,2048,0,64,True,accepted_empirical,0.1,1,,,,,,,0.059999999999999803,0.3599999999999998,0.36092657972386566,0.7438362380604668,,,,,,,0.04791666666666666,empirical,0.16234268301771615,not_applicable
P-T,DA,49,composition,4,6,0.4,A_finite_supported,True,1.4999999999999998,2.0,0.08601599999999993,0.034608,-0.9966444122665818,-0.1661074020444303,0.3744,0.338980625190905,-0.03541937480909502,2112,2048,0,64,True,accepted_empirical,0.1,1,,,,,,,-0.26,0.03999999999999998,0.36092657972386566,0.7438362380604668,,,,,,,0.04791666666666666,empirical,0.16234268301771615,not_applicable
